timestamp,equipment_id,equipment_name,equipment_type,temperature,vibration,usage_hours,efficiency,maintenance_event,failure_indicator,failure_type,hour,day_of_week,month,is_weekend,health_score,risk_level,maintenance_recommendation
2025-12-11 16:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,65.9,0.069,1000.0,76.0,0,0.0,imbalance,16,3,12,0,88.4,Low,Normal operation
2025-12-11 17:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,65.8,0.176,1000.7,75.3,0,0.0,,17,3,12,0,83.8,Low,Normal operation
2025-12-11 18:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,68.3,0.0,1001.3,74.5,0,0.0,,18,3,12,0,88.9,Low,Normal operation
2025-12-11 19:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,62.2,0.114,1002.0,75.1,0,0.0,,19,3,12,0,87.0,Low,Normal operation
2025-12-11 20:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,70.9,0.367,1002.7,74.1,0,0.0,,20,3,12,0,71.4,Medium,Monitor closely
2025-12-11 21:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,72.0,0.0,1003.3,74.5,0,0.0,,21,3,12,0,86.0,Low,Normal operation
2025-12-11 22:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,69.7,0.064,1004.0,74.9,0,0.0,,22,3,12,0,85.3,Low,Normal operation
2025-12-11 23:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,58.6,0.036,1004.7,75.0,0,0.0,,23,3,12,0,90.2,Low,Normal operation
2025-12-12 00:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,62.8,0.166,1005.3,74.6,0,0.0,,0,4,12,0,84.6,Low,Normal operation
2025-12-12 01:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,62.6,0.202,1006.0,74.7,0,0.0,,1,4,12,0,83.1,Low,Normal operation
2025-12-12 02:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,63.9,0.0,1006.7,74.7,0,0.0,,2,4,12,0,91.6,Low,Normal operation
2025-12-12 03:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,65.0,0.107,1007.3,74.3,0,0.0,,3,4,12,0,87.0,Low,Normal operation
2025-12-12 04:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,65.6,0.303,1008.0,74.7,0,0.0,,4,4,12,0,78.5,Medium,Monitor closely
2025-12-12 05:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,66.0,0.0,1008.7,74.9,0,0.0,,5,4,12,0,90.8,Low,Normal operation
2025-12-12 06:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,64.3,0.0,1009.3,74.7,0,0.0,,6,4,12,0,91.6,Low,Normal operation
2025-12-12 07:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,66.2,0.036,1010.0,74.0,0,0.0,,7,4,12,0,88.9,Low,Normal operation
2025-12-12 08:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,61.7,0.164,1010.7,74.7,0,0.0,,8,4,12,0,84.7,Low,Normal operation
2025-12-12 09:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,65.7,0.103,1011.3,74.3,0,0.0,,9,4,12,0,86.6,Low,Normal operation
2025-12-12 10:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,69.3,0.0,1012.0,74.9,0,0.0,,10,4,12,0,88.3,Low,Normal operation
2025-12-12 11:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,66.1,0.033,1012.7,73.8,0,0.0,,11,4,12,0,89.0,Low,Normal operation
2025-12-12 12:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,69.3,0.0,1013.3,74.7,0,0.0,,12,4,12,0,88.2,Low,Normal operation
2025-12-12 13:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,71.5,0.111,1014.0,73.8,0,0.0,,13,4,12,0,81.5,Low,Normal operation
2025-12-12 14:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,69.4,0.0,1014.7,73.9,0,0.0,,14,4,12,0,87.8,Low,Normal operation
2025-12-12 15:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,54.2,0.175,1015.3,74.0,0,0.0,,15,4,12,0,84.0,Low,Normal operation
2025-12-12 16:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,74.8,0.301,1016.0,74.4,0,0.0,,16,4,12,0,71.2,Medium,Monitor closely
2025-12-12 17:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,71.3,0.269,1016.7,74.2,0,0.0,,17,4,12,0,75.3,Medium,Monitor closely
2025-12-12 18:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,74.2,0.128,1017.3,74.8,0,0.0,,18,4,12,0,79.1,Medium,Monitor closely
2025-12-12 19:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,75.4,0.243,1018.0,74.1,0,0.0,,19,4,12,0,73.1,Medium,Monitor closely
2025-12-12 20:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,69.1,0.289,1018.7,75.5,0,0.0,,20,4,12,0,76.6,Medium,Monitor closely
2025-12-12 21:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,57.0,0.146,1019.3,74.5,0,0.0,,21,4,12,0,85.4,Low,Normal operation
2025-12-12 22:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,67.3,0.085,1020.0,73.8,0,0.0,,22,4,12,0,85.9,Low,Normal operation
2025-12-12 23:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,63.7,0.173,1020.7,74.7,0,0.0,,23,4,12,0,84.4,Low,Normal operation
2025-12-13 00:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,57.6,0.009,1021.3,75.3,0,0.0,,0,5,12,1,91.4,Low,Normal operation
2025-12-13 01:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,62.7,0.0,1022.0,74.6,0,0.0,,1,5,12,1,91.5,Low,Normal operation
2025-12-13 02:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,70.9,0.385,1022.7,74.3,0,0.0,,2,5,12,1,70.8,Medium,Monitor closely
2025-12-13 03:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,69.3,0.029,1023.3,74.3,0,0.0,,3,5,12,1,86.9,Low,Normal operation
2025-12-13 04:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,53.2,0.0,1024.0,73.6,0,0.0,,4,5,12,1,91.2,Low,Normal operation
2025-12-13 05:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,69.4,0.151,1024.7,73.4,0,0.0,,5,5,12,1,81.4,Low,Normal operation
2025-12-13 06:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,66.2,0.055,1025.3,74.2,0,0.0,,6,5,12,1,88.2,Low,Normal operation
2025-12-13 07:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,65.0,0.069,1026.0,74.1,0,0.0,,7,5,12,1,88.5,Low,Normal operation
2025-12-13 08:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,66.6,0.108,1026.7,74.3,0,0.0,,8,5,12,1,85.7,Low,Normal operation
2025-12-13 09:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,64.7,0.03,1027.3,73.6,0,0.0,,9,5,12,1,90.0,Low,Normal operation
2025-12-13 10:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,65.4,0.365,1028.0,73.7,0,0.0,,10,5,12,1,75.7,Medium,Monitor closely
2025-12-13 11:56:19.348170,HVAC-001,HVAC System - Building A,HVAC,61.0,0.204,1028.7,73.6,0,0.0,,11,5,12,1,82.7,Low,Normal operation
